DateTime;Players;Average Players;Twitch Viewers;game
28.10.21 00:00;;;7;forza_horizon_5
29.10.21 00:00;;;14;forza_horizon_5
30.10.21 00:00;;;10;forza_horizon_5
31.10.21 00:00;;;18;forza_horizon_5
01.11.21 00:00;;;21;forza_horizon_5
02.11.21 00:00;;;36;forza_horizon_5
03.11.21 00:00;;;97;forza_horizon_5
04.11.21 00:00;;;84017;forza_horizon_5
05.11.21 00:00;;;84697;forza_horizon_5
06.11.21 00:00;;;84263;forza_horizon_5
07.11.21 00:00;;;95623;forza_horizon_5
08.11.21 00:00;;;49359;forza_horizon_5
09.11.21 00:00;70726;;88157;forza_horizon_5
10.11.21 00:00;74323;;68079;forza_horizon_5
11.11.21 00:00;80859;;39990;forza_horizon_5
12.11.21 00:00;73966;;83191;forza_horizon_5
13.11.21 00:00;81096;;30783;forza_horizon_5
14.11.21 00:00;79767;;62208;forza_horizon_5
15.11.21 00:00;62275;;62883;forza_horizon_5
16.11.21 00:00;56628;;45874;forza_horizon_5
17.11.21 00:00;52222;;23988;forza_horizon_5
18.11.21 00:00;49809;;34165;forza_horizon_5
19.11.21 00:00;45527;;25334;forza_horizon_5
20.11.21 00:00;50309;;37753;forza_horizon_5
21.11.21 00:00;48506;;25121;forza_horizon_5
22.11.21 00:00;37924;;16439;forza_horizon_5
23.11.21 00:00;34711;;17593;forza_horizon_5
24.11.21 00:00;34210;;16422;forza_horizon_5
25.11.21 00:00;37331;;13899;forza_horizon_5
26.11.21 00:00;35307;;20292;forza_horizon_5
27.11.21 00:00;37024;;14497;forza_horizon_5
28.11.21 00:00;35355;;18773;forza_horizon_5
29.11.21 00:00;26361;;16221;forza_horizon_5
30.11.21 00:00;24767;;11623;forza_horizon_5
01.12.21 00:00;23325;;28294;forza_horizon_5
02.12.21 00:00;26038;;22325;forza_horizon_5
03.12.21 00:00;26457;;23664;forza_horizon_5
04.12.21 00:00;31367;;9208;forza_horizon_5
05.12.21 00:00;30158;;8370;forza_horizon_5
06.12.21 00:00;21719;;9131;forza_horizon_5
07.12.21 00:00;20869;;4849;forza_horizon_5
08.12.21 00:00;19982;;4896;forza_horizon_5
09.12.21 00:00;23558;;7297;forza_horizon_5
10.12.21 00:00;22660;;8792;forza_horizon_5
11.12.21 00:00;25166;;5833;forza_horizon_5
12.12.21 00:00;22223;;7751;forza_horizon_5
13.12.21 00:00;17121;;8731;forza_horizon_5
14.12.21 00:00;16211;;18353;forza_horizon_5
15.12.21 00:00;16269;;13851;forza_horizon_5
16.12.21 00:00;18553;;12036;forza_horizon_5
17.12.21 00:00;18424;;6965;forza_horizon_5
18.12.21 00:00;20310;;5209;forza_horizon_5
19.12.21 00:00;19710;;20319;forza_horizon_5
20.12.21 00:00;16143;;6865;forza_horizon_5
21.12.21 00:00;15832;;5636;forza_horizon_5
22.12.21 00:00;15331;;4800;forza_horizon_5
23.12.21 00:00;19880;;7705;forza_horizon_5
24.12.21 00:00;20637;;1971;forza_horizon_5
25.12.21 00:00;23553;;3387;forza_horizon_5
26.12.21 00:00;24071;;3670;forza_horizon_5
27.12.21 00:00;23812;;3372;forza_horizon_5
28.12.21 00:00;22795;;7215;forza_horizon_5
29.12.21 00:00;22857;;7893;forza_horizon_5
30.12.21 00:00;26245;;6843;forza_horizon_5
31.12.21 00:00;24355;;2963;forza_horizon_5
01.01.22 00:00;23423;;2994;forza_horizon_5
02.01.22 00:00;23068;;5373;forza_horizon_5
03.01.22 00:00;19778;;3541;forza_horizon_5
04.01.22 00:00;18456;;2711;forza_horizon_5
05.01.22 00:00;18603;;4611;forza_horizon_5
06.01.22 00:00;21891;;4499;forza_horizon_5
07.01.22 00:00;20451;;3347;forza_horizon_5
08.01.22 00:00;21436;;3320;forza_horizon_5
09.01.22 00:00;20433;;7928;forza_horizon_5
10.01.22 00:00;15697;;9160;forza_horizon_5
11.01.22 00:00;15486;;3326;forza_horizon_5
12.01.22 00:00;15360;;7478;forza_horizon_5
13.01.22 00:00;17839;;2971;forza_horizon_5
14.01.22 00:00;17054;;3854;forza_horizon_5
15.01.22 00:00;18835;;3691;forza_horizon_5
16.01.22 00:00;18074;;4314;forza_horizon_5
17.01.22 00:00;15658;;2924;forza_horizon_5
18.01.22 00:00;13492;;6414;forza_horizon_5
19.01.22 00:00;13575;;5551;forza_horizon_5
20.01.22 00:00;16166;;2461;forza_horizon_5
21.01.22 00:00;15137;;3118;forza_horizon_5
22.01.22 00:00;17001;;7586;forza_horizon_5
23.01.22 00:00;16398;;4538;forza_horizon_5
24.01.22 00:00;12508;;3569;forza_horizon_5
25.01.22 00:00;12036;;5493;forza_horizon_5
26.01.22 00:00;12507;;4271;forza_horizon_5
27.01.22 00:00;15814;;3413;forza_horizon_5
28.01.22 00:00;14723;;4056;forza_horizon_5
29.01.22 00:00;16473;;2623;forza_horizon_5
30.01.22 00:00;16783;;7809;forza_horizon_5
31.01.22 00:00;12855;;3066;forza_horizon_5
01.02.22 00:00;12664;;19526;forza_horizon_5
02.02.22 00:00;14405;;1765;forza_horizon_5
03.02.22 00:00;19524;;3422;forza_horizon_5
04.02.22 00:00;16610;;16404;forza_horizon_5
05.02.22 00:00;17311;;16384;forza_horizon_5
06.02.22 00:00;16919;;1570;forza_horizon_5
07.02.22 00:00;12628;;7250;forza_horizon_5
08.02.22 00:00;12182;;4301;forza_horizon_5
09.02.22 00:00;11823;;10408;forza_horizon_5
10.02.22 00:00;16595;;2341;forza_horizon_5
11.02.22 00:00;15737;;3811;forza_horizon_5
12.02.22 00:00;15950;;3180;forza_horizon_5
13.02.22 00:00;15378;;10723;forza_horizon_5
14.02.22 00:00;11402;;1610;forza_horizon_5
15.02.22 00:00;11239;;3463;forza_horizon_5
16.02.22 00:00;11048;;1373;forza_horizon_5
17.02.22 00:00;13885;;6415;forza_horizon_5
18.02.22 00:00;13946;;9064;forza_horizon_5
19.02.22 00:00;14507;;6971;forza_horizon_5
20.02.22 00:00;14171;;10502;forza_horizon_5
21.02.22 00:00;10771;;3420;forza_horizon_5
22.02.22 00:00;10343;;1775;forza_horizon_5
23.02.22 00:00;10256;;4094;forza_horizon_5
24.02.22 00:00;12546;;5633;forza_horizon_5
