"DateTime","Euro Truck Simulator 2","Wreckfest","OMSI 2","American Truck Simulator","Fernbus Simulator","City Car Driving","CarX Drift Racing Online","MudRunner","Bus Simulator 21 Next Stop","SnowRunner"
"2013-01-01 00:00:00",2837,11,,,,,,,,
"2013-01-02 00:00:00",,,,,,,,,,
"2013-01-03 00:00:00",,,,,,,,,,
"2013-01-04 00:00:00",,,,,,,,,,
"2013-01-05 00:00:00",,,,,,,,,,
"2013-01-06 00:00:00",,,,,,,,,,
"2013-01-07 00:00:00",,,,,,,,,,
"2013-01-08 00:00:00",,,,,,,,,,
"2013-01-09 00:00:00",,,,,,,,,,
"2013-01-10 00:00:00",,,,,,,,,,
"2013-01-11 00:00:00",,,,,,,,,,
"2013-01-12 00:00:00",,,,,,,,,,
"2013-01-13 00:00:00",,,,,,,,,,
"2013-01-14 00:00:00",,,,,,,,,,
"2013-01-15 00:00:00",,,,,,,,,,
"2013-01-16 00:00:00",1121,,,,,,,,,
"2013-01-17 00:00:00",1729,,,,,,,,,
"2013-01-18 00:00:00",2407,,,,,,,,,
"2013-01-19 00:00:00",2843,,,,,,,,,
"2013-01-20 00:00:00",2626,,,,,,,,,
"2013-01-21 00:00:00",2477,,,,,,,,,
"2013-01-22 00:00:00",2338,,,,,,,,,
"2013-01-23 00:00:00",2186,,,,,,,,,
"2013-01-24 00:00:00",2054,,,,,,,,,
"2013-01-25 00:00:00",2171,,,,,,,,,
"2013-01-26 00:00:00",2254,,,,,,,,,
"2013-01-27 00:00:00",2024,,,,,,,,,
"2013-01-28 00:00:00",1703,,,,,,,,,
"2013-01-29 00:00:00",1663,,,,,,,,,
"2013-01-30 00:00:00",1501,,,,,,,,,
"2013-01-31 00:00:00",1467,,,,,,,,,
"2013-02-01 00:00:00",2051,13,,,,,,,,
"2013-02-02 00:00:00",1824,,,,,,,,,
"2013-02-03 00:00:00",1654,,,,,,,,,
"2013-02-04 00:00:00",1452,,,,,,,,,
"2013-02-05 00:00:00",1499,,,,,,,,,
"2013-02-06 00:00:00",1457,,,,,,,,,
"2013-02-07 00:00:00",1500,,,,,,,,,
"2013-02-08 00:00:00",1636,,,,,,,,,
"2013-02-09 00:00:00",1809,,,,,,,,,
"2013-02-10 00:00:00",1651,,,,,,,,,
"2013-02-11 00:00:00",1461,,,,,,,,,
"2013-02-12 00:00:00",1448,,,,,,,,,
"2013-02-13 00:00:00",1383,,,,,,,,,
"2013-02-14 00:00:00",1540,,,,,,,,,
"2013-02-15 00:00:00",1839,,,,,,,,,
"2013-02-16 00:00:00",2089,,,,,,,,,
"2013-02-17 00:00:00",1855,,,,,,,,,
"2013-02-18 00:00:00",1751,,,,,,,,,
"2013-02-19 00:00:00",1611,,,,,,,,,
"2013-02-20 00:00:00",1543,,,,,,,,,
"2013-02-21 00:00:00",1581,,,,,,,,,
"2013-02-22 00:00:00",1814,,,,,,,,,
"2013-02-23 00:00:00",1990,,,,,,,,,
"2013-02-24 00:00:00",1759,,,,,,,,,
"2013-02-25 00:00:00",1622,,,,,,,,,
"2013-02-26 00:00:00",1566,,,,,,,,,
"2013-02-27 00:00:00",1530,,,,,,,,,
"2013-02-28 00:00:00",1518,,,,,,,,,
"2013-03-01 00:00:00",2328,13,,,,,,,,
"2013-03-02 00:00:00",1951,,,,,,,,,
"2013-03-03 00:00:00",1729,,,,,,,,,
"2013-03-04 00:00:00",1461,,,,,,,,,
"2013-03-05 00:00:00",1396,,,,,,,,,
"2013-03-06 00:00:00",1359,,,,,,,,,
"2013-03-07 00:00:00",1292,,,,,,,,,
"2013-03-08 00:00:00",1500,,,,,,,,,
"2013-03-09 00:00:00",1697,,,,,,,,,
"2013-03-10 00:00:00",1399,,,,,,,,,
"2013-03-11 00:00:00",1320,,,,,,,,,
"2013-03-12 00:00:00",1217,,,,,,,,,
"2013-03-13 00:00:00",1229,,,,,,,,,
"2013-03-14 00:00:00",1208,,,,,,,,,
"2013-03-15 00:00:00",1387,,,,,,,,,
"2013-03-16 00:00:00",1510,,,,,,,,,
"2013-03-17 00:00:00",1307,,,,,,,,,
"2013-03-18 00:00:00",1143,,,,,,,,,
"2013-03-19 00:00:00",1127,,,,,,,,,
"2013-03-20 00:00:00",1133,,,,,,,,,
"2013-03-21 00:00:00",1545,,,,,,,,,
"2013-03-22 00:00:00",2128,,,,,,,,,
"2013-03-23 00:00:00",2336,,,,,,,,,
"2013-03-24 00:00:00",2097,,,,,,,,,
"2013-03-25 00:00:00",1889,,,,,,,,,
"2013-03-26 00:00:00",1828,,,,,,,,,
"2013-03-27 00:00:00",1863,,,,,,,,,
"2013-03-28 00:00:00",2149,,,,,,,,,
"2013-03-29 00:00:00",1895,,,,,,,,,
"2013-03-30 00:00:00",1810,,,,,,,,,
"2013-03-31 00:00:00",1696,,,,,,,,,
"2013-04-01 00:00:00",1944,12,,,,,,,,
"2013-04-02 00:00:00",1373,,,,,,,,,
"2013-04-03 00:00:00",1288,,,,,,,,,
"2013-04-04 00:00:00",1265,,,,,,,,,
"2013-04-05 00:00:00",1433,,,,,,,,,
"2013-04-06 00:00:00",1494,,,,,,,,,
"2013-04-07 00:00:00",1219,,,,,,,,,
"2013-04-08 00:00:00",1183,,,,,,,,,
"2013-04-09 00:00:00",1104,,,,,,,,,
"2013-04-10 00:00:00",1122,,,,,,,,,
"2013-04-11 00:00:00",1061,,,,,,,,,
"2013-04-12 00:00:00",1278,,,,,,,,,
"2013-04-13 00:00:00",1323,,,,,,,,,
"2013-04-14 00:00:00",1063,,,,,,,,,
"2013-04-15 00:00:00",1064,,,,,,,,,
"2013-04-16 00:00:00",1094,,,,,,,,,
"2013-04-17 00:00:00",1030,,,,,,,,,
"2013-04-18 00:00:00",1035,,,,,,,,,
"2013-04-19 00:00:00",1123,,,,,,,,,
"2013-04-20 00:00:00",1246,,,,,,,,,
"2013-04-21 00:00:00",1010,,,,,,,,,
"2013-04-22 00:00:00",1128,,,,,,,,,
"2013-04-23 00:00:00",1644,,,,,,,,,
"2013-04-24 00:00:00",1995,,,,,,,,,
"2013-04-25 00:00:00",1801,,,,,,,,,
"2013-04-26 00:00:00",1844,,,,,,,,,
"2013-04-27 00:00:00",1808,,,,,,,,,
"2013-04-28 00:00:00",1502,,,,,,,,,
"2013-04-29 00:00:00",1271,,,,,,,,,
"2013-04-30 00:00:00",1343,,,,,,,,,
"2013-05-01 00:00:00",1336,9,,,,,,,,
"2013-05-02 00:00:00",1178,,,,,,,,,
"2013-05-03 00:00:00",1266,,,,,,,,,
"2013-05-04 00:00:00",1276,,,,,,,,,
"2013-05-05 00:00:00",1090,,,,,,,,,
"2013-05-06 00:00:00",1103,,,,,,,,,
"2013-05-07 00:00:00",1047,,,,,,,,,
"2013-05-08 00:00:00",1031,,,,,,,,,
"2013-05-09 00:00:00",1007,,,,,,,,,
"2013-05-10 00:00:00",1196,,,,,,,,,
"2013-05-11 00:00:00",1188,,,,,,,,,
"2013-05-12 00:00:00",1001,,,,,,,,,
"2013-05-13 00:00:00",993,,,,,,,,,
"2013-05-14 00:00:00",931,,,,,,,,,
"2013-05-15 00:00:00",945,,,,,,,,,
"2013-05-16 00:00:00",911,,,,,,,,,
"2013-05-17 00:00:00",943,,,,,,,,,
"2013-05-18 00:00:00",992,,,,,,,,,
"2013-05-19 00:00:00",927,,,,,,,,,
"2013-05-20 00:00:00",922,,,,,,,,,
"2013-05-21 00:00:00",918,,,,,,,,,
"2013-05-22 00:00:00",799,,,,,,,,,
"2013-05-23 00:00:00",,,,,,,,,,
"2013-05-24 00:00:00",,,,,,,,,,
"2013-05-25 00:00:00",,,,,,,,,,
"2013-05-26 00:00:00",,,,,,,,,,
"2013-05-27 00:00:00",,,,,,,,,,
"2013-05-28 00:00:00",,,,,,,,,,
"2013-05-29 00:00:00",,,,,,,,,,
"2013-05-30 00:00:00",,,,,,,,,,
"2013-05-31 00:00:00",,,,,,,,,,
"2013-06-01 00:00:00",977,17,,,,,,,,
"2013-06-02 00:00:00",,,,,,,,,,
"2013-06-03 00:00:00",,,,,,,,,,
"2013-06-04 00:00:00",,,,,,,,,,
"2013-06-05 00:00:00",,,,,,,,,,
"2013-06-06 00:00:00",,,,,,,,,,
"2013-06-07 00:00:00",,,,,,,,,,
"2013-06-08 00:00:00",,,,,,,,,,
"2013-06-09 00:00:00",,,,,,,,,,
"2013-06-10 00:00:00",,,,,,,,,,
"2013-06-11 00:00:00",,,,,,,,,,
"2013-06-12 00:00:00",,,,,,,,,,
"2013-06-13 00:00:00",,,,,,,,,,
"2013-06-14 00:00:00",,,,,,,,,,
"2013-06-15 00:00:00",,,,,,,,,,
"2013-06-16 00:00:00",,,,,,,,,,
"2013-06-17 00:00:00",,,,,,,,,,
"2013-06-18 00:00:00",,,,,,,,,,
"2013-06-19 00:00:00",653,,,,,,,,,
"2013-06-20 00:00:00",,,,,,,,,,
"2013-06-21 00:00:00",,,,,,,,,,
"2013-06-22 00:00:00",,,,,,,,,,
"2013-06-23 00:00:00",,,,,,,,,,
"2013-06-24 00:00:00",,,,,,,,,,
"2013-06-25 00:00:00",,,,,,,,,,
"2013-06-26 00:00:00",,,,,,,,,,
"2013-06-27 00:00:00",,,,,,,,,,
"2013-06-28 00:00:00",,,,,,,,,,
"2013-06-29 00:00:00",,,,,,,,,,
"2013-06-30 00:00:00",,,,,,,,,,
"2013-07-01 00:00:00",5165,9,,,,,,,,
"2013-07-02 00:00:00",,,,,,,,,,
"2013-07-03 00:00:00",,,,,,,,,,
"2013-07-04 00:00:00",,,,,,,,,,
"2013-07-05 00:00:00",,,,,,,,,,
"2013-07-06 00:00:00",,,,,,,,,,
"2013-07-07 00:00:00",,,,,,,,,,
"2013-07-08 00:00:00",,,,,,,,,,
"2013-07-09 00:00:00",929,,,,,,,,,
"2013-07-10 00:00:00",764,,,,,,,,,
"2013-07-11 00:00:00",2079,,,,,,,,,
"2013-07-12 00:00:00",1957,,,,,,,,,
"2013-07-13 00:00:00",1940,,,,,,,,,
"2013-07-14 00:00:00",1803,,,,,,,,,
"2013-07-15 00:00:00",1737,,,,,,,,,
"2013-07-16 00:00:00",1676,,,,,,,,,
"2013-07-17 00:00:00",2977,,,,,,,,,
"2013-07-18 00:00:00",4539,,,,,,,,,
"2013-07-19 00:00:00",5249,,,,,,,,,
"2013-07-20 00:00:00",4740,,,,,,,,,
